INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,CPSF_MAJOR,CPSF_MINOR,CPSF_ANGLE
0,0,RACS_1433-69A,9510,6,9514,OBSERVED,14 33 58.34,-69 44 45.04,218.493083333333,-69.7458444444444,311.644562216516,-8.62759843891533,94.714,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
1,0,RACS_1433-69A,13754,0,13708,OBSERVED,14 33 58.34,-69 44 45.04,218.493083333333,-69.7458444444444,311.644562216516,-8.62759843891533,94.714,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
2,1,RACS_1327-73A,9510,2,9514,OBSERVED,13 27 14.308,-73 01 54.17,201.809616666667,-73.0317138888889,305.577263598911,-10.3441053999612,112.297,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
3,1,RACS_1327-73A,12499,2,12509,OBSERVED,13 27 14.308,-73 01 54.17,201.809616666667,-73.0317138888889,305.577263598911,-10.3441053999612,112.297,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
4,1,RACS_1327-73A,13750,0,13708,OBSERVED,13 27 14.308,-73 01 54.17,201.809616666667,-73.0317138888889,305.577263598911,-10.3441053999612,112.297,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
5,2,RACS_1200-74A,9510,0,9514,OBSERVED,12 00 00,-74 16 44.4,180.0,-74.279,299.400459998951,-11.760994710871,-225.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
6,2,RACS_1200-74A,13830,0,13818,OBSERVED,12 00 00,-74 16 44.4,180.0,-74.279,299.400459998951,-11.760994710871,-225.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
7,3,RACS_1032-73A,9607,4,9608,OBSERVED,10 32 45.691,-73 01 54.17,158.190379166667,-73.0317138888889,293.127861783791,-12.8566727516706,-202.297,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
8,3,RACS_1032-73A,13831,0,13818,OBSERVED,10 32 45.691,-73 01 54.17,158.190379166667,-73.0317138888889,293.127861783791,-12.8566727516706,-202.297,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
9,4,RACS_0926-69A,9607,3,9608,OBSERVED,09 26 01.659,-69 44 45.04,141.5069125,-69.7458444444444,286.779872563569,-13.6135314050869,-184.714,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
10,5,RACS_1554-71A,9510,11,9514,OBSERVED,15 54 44.495,-71 36 16.41,238.685395833333,-71.6045583333333,316.404115438518,-13.7078450227859,74.997,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0,-1.0,-1.0,-1.0
