cal_sbid,sbid,field
34974,34972,RACS_1148+28
34974,34973,RACS_1212+32
34974,34975,RACS_1614+46
34974,34976,RACS_1612+28
34974,34977,RACS_1636+28
34974,34978,RACS_1701+37
34974,34979,RACS_1724+28
34988,34987,RACS_2004+37
34988,34989,RACS_2223-41
35021,35020,RACS_1511+18
35021,35022,RACS_1849-51
35021,35023,RACS_1909-41
35021,35024,RACS_1927-14
35021,35025,RACS_1948+28
35021,35026,RACS_2028+32
35021,35027,RACS_2144+46
35021,35028,RACS_2053+32
35021,35029,RACS_2118+32
35021,35030,RACS_2149+37
35021,35031,RACS_2148+28
35021,35032,RACS_2208+32
35021,35033,RACS_2241+37
35075,35052,RACS_0441+18
35075,35054,RACS_0526+18
35075,35055,RACS_0600+14
35075,35056,RACS_0605+23
35075,35057,RACS_0628+23
35075,35058,RACS_0700+28
35075,35059,RACS_0705+14
35075,35060,RACS_0731+09
35075,35061,RACS_0749+14
35075,35062,RACS_0810+14
35075,35063,RACS_0826+18
35075,35064,RACS_0845+23
35075,35065,RACS_0911+18
35075,35066,RACS_0933+18
35075,35067,RACS_0954+23
35075,35068,RACS_1012+28
35075,35069,RACS_1033+32
35075,35070,RACS_1100+28
35075,35071,RACS_1105+14
35075,35073,RACS_1148+23
35075,35074,RACS_1212+28
35075,35076,RACS_1428-23
35075,35077,RACS_1448-18
35075,35078,RACS_1511-18
35075,35079,RACS_1544+46
35075,35080,RACS_1549+14
35075,35081,RACS_1610+14
35075,35082,RACS_1628+09
35105,35104,RACS_2004+32
35105,35106,RACS_2241-37
35105,35107,RACS_2300-28
35105,35108,RACS_2324-28
35105,35109,RACS_2348-28
35105,35110,RACS_2359-23
35105,35111,RACS_0022-23
35105,35112,RACS_0045-23
35105,35113,RACS_0100-28
35105,35114,RACS_0124-28
35105,35115,RACS_0141-18
35105,35116,RACS_0200-14
35105,35117,RACS_0221-14
35105,35118,RACS_0241+32
35105,35119,RACS_0300+28
35105,35120,RACS_0324+28
35105,35121,RACS_0348+28
35105,35122,RACS_0420+32
35105,35123,RACS_0432+14
35105,35124,RACS_0439+09
35105,35125,RACS_0500+09
35105,35126,RACS_0519+23
35105,35127,RACS_0543+09
35105,35128,RACS_0605+09
35105,35129,RACS_0621+14
35105,35130,RACS_0643+14
35105,35131,RACS_0709+09
35105,35132,RACS_0718+18
35105,35133,RACS_0741+18
35105,35134,RACS_0759+23
35105,35135,RACS_0832+14
35105,35136,RACS_0854+14
35105,35137,RACS_0900+28
35105,35138,RACS_0924+28
35105,35139,RACS_0938+14
35105,35140,RACS_1002+37
