INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,FSCALE,FMETHOD
0,0,RACS_1413-70,33644,0,33645,IMAGED,14 13 40.491,-70 18 22.76,213.4187125,-70.3063222222222,309.804977885832,-8.53977156393277,99.976,5143923040.03929,905.748479394226,905.74848,36,5166688916.005,126523115,12.3,8.20000000000001,22.37,-0.005730713717639,0.997444927692413,177.595467988079,167.327947406842,135.275057723424,137.645396238968,1791.21845717603,5166871979,3445,1,0,0,,0,1.0023,SUMSS
1,1,RACS_1313-72,22470,0,22476,IMAGED,13 13 21.588,-72 45 46.24,198.33995,-72.7628444444444,304.578509776225,-9.96121954061534,115.859,5119270109.39328,965.468160180359,965.46816,36,5165888564.953,125750389,12.4,9.19999999999998,-18.42,-0.005734151694924,1.03105878829956,180.116947533202,170.271714282439,127.24594547986,133.342826339914,1362.58656223939,5166418280,3512,1,0,0,,0,0.9453,SUMSS
2,2,RACS_1200-73,22119,0,22120,IMAGED,12 00 00,-73 39 49.07,180.0,-73.6636305555556,299.273559471896,-11.1583242937096,135.0,5118507689.47238,915.70175984314,915.70176,36,5165883846.248,125778593,17.2,8.79999999999999,72.47,-0.014552596025169,1.07965910434723,192.221835951526,173.869314572169,214.071723064502,136.737076948094,1991.29840689646,5166412702,3439,1,0,0,,0,0.9781,SUMSS
3,3,RACS_1046-72,22114,0,22120,IMAGED,10 46 38.411,-72 45 46.24,161.660045833333,-72.7628444444444,293.899041212392,-12.1176143247702,154.141,5118503424.71309,905.7484803479,905.74848,36,5165883598.962,125808251,17.1,8.60000000000001,73.77,-0.009217337705195,2.20296239852905,181.359639602559,171.459727161155,106.912571601471,130.931574296209,1437.18106981734,5166413056,3356,1,0,0,,0,0.9697,SUMSS
4,4,RACS_0946-70,22530,0,22476,IMAGED,09 46 19.508,-70 18 22.76,146.581283333333,-70.3063222222222,288.46748378731,-12.8277934563129,170.024,5119345811.16557,905.7484803479,905.74848,36,5165890625.873,125854584,11.6,8.89999999999999,-8.59,-0.01192796882242,0.50090229511261,184.266330048806,174.125945068981,127.299312405471,137.7514386018,1408.66706457909,5166420408,3684,1,0,0,,0,0.9728,SUMSS
5,5,RACS_1515-72,24691,0,24706,IMAGED,15 15 34.107,-72 04 25.51,228.8921125,-72.0737527777778,313.609514005958,-12.2585661279755,84.701,5122551300.4896,915.70175984314,915.70176,36,5165788352.911,125988839,15.2,9.10000000000001,-11.22,-0.010504513978958,1.04553198814392,180.854360468746,170.460292912083,124.180315577861,134.90382223504,1394.04338726386,5166351809,3427,1,0,0,,0,1.0061,SUMSS
6,6,RACS_1418-75,23821,0,23823,IMAGED,14 18 42.284,-75 45 16.71,214.676183333333,-75.7546416666667,308.335577669397,-13.8065615350599,99.482,5121342155.46509,915.70175984314,915.70176,36,5165779795.884,125902199,14.1,9.4,-8.78,-0.008571062237024,1.11604642868042,171.641472094672,160.968294289434,123.890571177165,125.926274383749,1299.52084461436,5166350195,3719,1,0,0,,0,1.0029,SUMSS
7,7,RACS_1252-78,22469,0,22476,IMAGED,12 52 05.776,-78 00 42.46,193.024066666667,-78.0117944444445,302.967341285719,-15.1400921316402,121.696,5119268914.99968,955.514879731445,955.51488,36,5165888485.386,125963195,14.6,9.60000000000001,-15.57,-0.007983925752342,0.595395147800446,184.082736785187,173.734842609996,133.860650542604,134.515700117582,1708.25837787829,5166418194,3488,1,0,0,,0,0.9471,SUMSS
8,8,RACS_1107-78,22116,0,22120,IMAGED,11 07 54.223,-78 00 42.46,166.975929166667,-78.0117944444445,297.512560951995,-16.2437211838337,148.304,5118505445.22893,915.70175984314,915.70176,36,5165883721.355,126020817,19.7,9.4,75.08,-0.006765098776668,0.748960852622986,191.355502366843,180.970746126435,133.560131657556,136.815979535532,1620.26975276825,5166413036,3461,1,0,0,,0,1.0111,SUMSS
9,9,RACS_0941-75,22609,0,22631,IMAGED,09 41 17.715,-75 45 16.71,145.3238125,-75.7546416666667,291.983293046439,-17.1039693867705,170.518,5119430371.46765,915.70175984314,915.70176,36,5165891210.458,126385446,13.1,9.29999999999999,-16.88,-0.020042557269335,2.21696901321411,285.388174544802,271.150227408915,208.424013102288,213.546136470085,2147.72607168504,5166423544,2330,1,0,0,,0,0.9746,SUMSS
