INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV
0,0,RACS_1413-70,58064,0,58013,OBSERVED,14 13 40.491,-70 18 22.76,213.41871249999997,-70.30632222222222,309.80497788583244,-8.539771563932792,99.976,5213105613.435263,905.748479394226,905.7484800000001,36,5213127760.341025,101328581,16.599999999999998,11.800000000000008,-16.88,-0.023590918630361557,1.5064667463302612,174.00548933522626,160.16012840628542,52.65470106498415,126.67103252029136,704.1878724999566,5213135269.0,4536,0,0,0,,100
1,1,RACS_1313-72,57526,0,57477,OBSERVED,13 13 21.588,-72 45 46.24,198.33995,-72.76284444444444,304.57850977622513,-9.961219540615362,115.859,5212155496.993151,965.4681592266845,965.4681600000001,36,5212298753.662932,101061165,16.899999999999984,11.300000000000004,-7.02,-0.009885713458061218,1.2603492736816406,217.17122857706735,202.26555062669956,67.62885133215663,160.0865999621935,1617.6730464174625,5212324418.0,4536,0,0,0,,100
2,2,RACS_1200-73,57223,0,57229,OBSERVED,12 00 00,-73 39 49.07,179.99999999999997,-73.66363055555556,299.2735594718955,-11.158324293709631,135.0,5211811130.425726,915.7017598431396,915.7017600000001,36,5212017307.995156,101332105,18.0,11.50000000000002,18.32,-0.016511522233486176,1.4821650981903076,190.31280619378794,177.80894747436093,54.05264253195836,138.69091172497568,1466.1724438395122,5212025313.0,4536,0,0,0,,100
3,3,RACS_1046-72,57219,0,57229,OBSERVED,10 46 38.411,-72 45 46.24,161.66004583333333,-72.76284444444444,293.8990412123923,-12.117614324770173,154.141,5211806920.188286,905.7484803479003,905.7484800000001,36,5212016345.123535,101272798,17.6,11.599999999999993,19.97,-0.016589391976594925,3.6206605434417725,186.82677238583122,171.93232930127976,61.28796023671929,132.6779506222419,1645.8410400209646,5212024820.0,4536,0,0,0,,100
4,4,RACS_0946-70,57167,0,57179,OBSERVED,09 46 19.508,-70 18 22.76,146.58128333333332,-70.30632222222222,288.4674837873096,-12.827793456312945,170.024,5211717452.476798,965.4681601803588,965.4681600000001,36,5211972347.142387,101184180,16.80000000000001,11.400000000000013,21.9,-0.04375213384628296,3.3691749572753906,187.92235471302706,173.91849771595088,62.277953439547936,136.44115088867912,1086.5141555412863,5211982049.0,4536,0,0,0,,100
5,5,RACS_1515-72,58913,0,58934,OBSERVED,15 15 34.107,-72 04 25.51,228.89211249999997,-72.07375277777777,313.6095140059581,-12.258566127975476,84.701,5214230331.089278,875.8886399548339,875.8886400000001,36,5214398658.629697,101322923,16.80000000000001,11.7,-11.93,-0.01933039352297783,1.9067459106445312,194.1862056836806,178.97302885255763,69.20653225417679,142.9404660982057,1546.0283803975167,5214406770.0,4536,0,0,0,,100
6,6,RACS_1418-75,58143,0,58090,OBSERVED,14 18 42.284,-75 45 16.71,214.6761833333333,-75.75464166666667,308.33557766939686,-13.80656153505989,99.482,5213192660.28787,915.7017598431396,915.7017600000001,36,5213199933.1212225,101385733,18.29999999999999,12.099999999999996,-13.21,-0.0071914768777787685,1.8102269172668457,205.70966806828844,191.54945443535567,63.916712148707774,144.62975628558047,708.1206613686281,5213204585.0,4536,0,0,0,,100
7,7,RACS_1252-78,57525,0,57477,OBSERVED,12 52 05.776,-78 00 42.46,193.02406666666664,-78.01179444444445,302.96734128571904,-15.140092131640252,121.696,5212154216.558974,975.4214396755981,975.4214400000001,36,5212298528.022099,101109429,19.500000000000014,12.200000000000005,-7.08,-0.010152313858270645,1.1069495677947998,212.99153349857318,198.69330430869456,58.58870118974801,155.70265174000417,755.5923575025917,5212324400.0,4536,0,0,0,,100
8,8,RACS_1107-78,57520,0,57477,OBSERVED,11 07 54.223,-78 00 42.46,166.97592916666665,-78.01179444444445,297.5125609519951,-16.243721183833763,148.304,5212147679.465855,975.4214396755981,975.4214400000001,36,5212297676.707357,101080595,19.400000000000006,12.200000000000005,-8.01,-0.010874731466174126,1.5534533262252808,208.53041188640893,195.26376435733243,56.97799655510744,146.8712076423255,715.2319046371155,5212324345.0,4536,0,0,0,,100
9,9,RACS_0941-75,57515,0,57477,OBSERVED,09 41 17.715,-75 45 16.71,145.32381249999997,-75.75464166666667,291.9832930464391,-17.103969386770498,170.518,5212141402.816895,975.4214396755981,975.4214400000001,36,5212296971.012899,101008009,18.10000000000001,12.099999999999996,-16.31,-0.06777124851942062,4.10221004486084,217.6655740363232,204.5447503715099,92.05210988159367,152.42476212350945,3022.5766056815814,5212324303.0,4536,0,0,0,,100
