INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV
0,0,RACS_1349-71,-1,-1,-1,--NULL--,13 49 03.868,-71 00 53.28,207.26611666666665,-71.0148,307.6283874014493,-8.67037540794293,106.4079,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
1,1,RACS_1257-72,-1,-1,-1,--NULL--,12 57 58.279,-72 37 17.77,194.49282916666664,-72.62160277777777,303.42687420409953,-9.756134207130126,119.8452,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
2,2,RACS_1200-73,-1,-1,-1,--NULL--,12 00 00,-73 11 28.79,179.99999999999997,-73.19133055555555,299.17652060328396,-10.695734667085999,135.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
3,3,RACS_1102-72,-1,-1,-1,--NULL--,11 02 01.72,-72 37 17.77,165.50716666666665,-72.62160277777777,294.88206384290737,-11.482374129731443,150.1548,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
4,4,RACS_1010-71,-1,-1,-1,--NULL--,10 10 56.131,-71 00 53.28,152.73387916666664,-71.0148,290.54972346500386,-12.110150750801461,163.5921,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
5,5,RACS_1458-71,-1,-1,-1,--NULL--,14 58 16.329,-71 28 51.08,224.56803749999997,-71.48085555555556,312.725703205262,-11.062947177898325,88.909,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
6,6,RACS_1413-74,-1,-1,-1,--NULL--,14 13 41.446,-74 16 10.12,213.42269166666665,-74.26947777777778,308.5249854357746,-12.297753946510346,100.5645,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
7,7,RACS_1313-76,-1,-1,-1,--NULL--,13 13 14.908,-76 12 39.09,198.31211666666664,-76.21085833333333,304.2660106903058,-13.395638235539238,116.1822,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
8,8,RACS_1200-76,-1,-1,-1,--NULL--,12 00 00,-76 55 18.81,179.99999999999997,-76.92189166666667,299.9522101925531,-14.348665123754042,135.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
9,9,RACS_1046-76,-1,-1,-1,--NULL--,10 46 45.091,-76 12 39.09,161.68787916666665,-76.21085833333333,295.5887352566958,-15.149638132381384,153.8178,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
