BEAM_NUM,BEAM_TIME,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,VIS_TOTAL,VIS_FLAGGED
0,5258177536.0,174.14422607421875,-29.889400482177734,284.1483459472656,30.237247467041016,8.21496295928955,7.114459991455078,67.93949127197266,8631360,1364085
1,5258177536.0,175.1828155517578,-29.906631469726562,285.14276123046875,30.510967254638672,8.230328559875488,7.189204692840576,67.14861297607422,8631360,855431
2,5258177536.0,176.2212371826172,-29.916200637817383,286.1424560546875,30.776525497436523,8.190873146057129,7.194307804107666,66.48302459716797,8631360,904673
3,5258177536.0,177.25958251953125,-29.91811180114746,287.1475524902344,31.03386688232422,8.151496887207031,7.198670864105225,65.8225326538086,8631360,1074638
4,5258177536.0,178.29794311523438,-29.912368774414062,288.15826416015625,31.282930374145508,8.01819896697998,7.150752544403076,63.40568542480469,8631360,1376598
5,5258177536.0,179.33645629882812,-29.898969650268555,289.1746826171875,31.523651123046875,7.980441570281982,7.153212070465088,62.707923889160156,8631360,1327721
6,5258177536.0,174.68148803710938,-29.119449615478516,284.3689270019531,31.11785125732422,8.25357437133789,7.188014030456543,68.28634643554688,8631360,828355
7,5258177536.0,175.71200561523438,-29.13273811340332,285.3729553222656,31.38959312438965,8.208284378051758,7.188311576843262,67.55834197998047,8631360,948574
8,5258177536.0,176.74240112304688,-29.138429641723633,286.38250732421875,31.65311622619629,8.172188758850098,7.196343898773193,66.92767333984375,8631360,895445
9,5258177536.0,177.7727813720703,-29.13652992248535,287.39776611328125,31.908353805541992,8.130680084228516,7.196868896484375,66.31890106201172,8631360,929914
10,5258177536.0,178.80322265625,-29.127038955688477,288.4188537597656,32.15523910522461,7.996219158172607,7.148903846740723,63.93775939941406,8631360,1425604
11,5258177536.0,179.8338623046875,-29.109949111938477,289.4459228515625,32.39370346069336,7.938446044921875,7.095004081726074,64.0137939453125,8631360,1722079
12,5258177536.0,174.18719482421875,-28.330699920654297,283.5846862792969,31.719629287719727,8.274322509765625,7.186071395874023,69.3617172241211,8631360,942538
13,5258177536.0,175.21017456054688,-28.3476619720459,284.5931701660156,31.997655868530273,8.23016357421875,7.1879119873046875,68.66022491455078,8631360,921235
14,5258177536.0,176.23297119140625,-28.357080459594727,285.6072692871094,32.267452239990234,8.191069602966309,7.191236972808838,68.00312805175781,8631360,921044
15,5258177536.0,177.25567626953125,-28.35896110534668,286.6271667480469,32.528961181640625,8.149370193481445,7.190011024475098,67.34750366210938,8631360,844895
16,5258177536.0,178.27841186523438,-28.35331153869629,287.6530456542969,32.782108306884766,8.114227294921875,7.198078155517578,66.83015441894531,8631360,811783
17,5258177536.0,179.30128479003906,-28.340120315551758,288.68499755859375,33.02683639526367,8.079699516296387,7.204280853271484,66.26724243164062,8631360,1080887
18,5258177536.0,174.7152862548828,-27.560861587524414,283.8026123046875,32.60067367553711,8.250911712646484,7.184464931488037,69.68476867675781,8631360,1008063
19,5258177536.0,175.7307891845703,-27.57396125793457,284.82135009765625,32.8768424987793,8.210515975952148,7.188144207000732,69.0479736328125,8631360,843753
20,5258177536.0,176.74615478515625,-27.57956886291504,285.84600830078125,33.14472198486328,8.133563041687012,7.176262855529785,64.93431854248047,8631360,1243143
21,5258177536.0,177.76150512695312,-27.577699661254883,286.8767395019531,33.40423583984375,8.131586074829102,7.191901683807373,67.82614135742188,8631360,901764
22,5258177536.0,178.77694702148438,-27.568349838256836,287.9137268066406,33.65531539916992,8.096612930297852,7.196633815765381,67.29430389404297,8631360,1105063
23,5258177536.0,179.79257202148438,-27.551511764526367,288.95709228515625,33.89788818359375,8.08855152130127,7.179690837860107,-89.35130310058594,8631360,2227712
24,5258177536.0,174.22686767578125,-26.77223014831543,283.0007629394531,33.1985969543457,8.20180606842041,7.104193687438965,70.37340545654297,8631360,1815427
25,5258177536.0,175.2354278564453,-26.788949966430664,284.02423095703125,33.481266021728516,8.039687156677246,7.024667263031006,68.1390609741211,8631360,2588320
26,5258177536.0,176.24378967285156,-26.79823875427246,285.0537414550781,33.7556266784668,8.163528442382812,7.154577255249023,69.38954162597656,8631360,1620428
27,5258177536.0,177.2520751953125,-26.800100326538086,286.0894775390625,34.021610260009766,8.102741241455078,7.097823619842529,68.37731170654297,8631360,1682042
28,5258177536.0,178.2603759765625,-26.794530868530273,287.1315612792969,34.27914810180664,8.119412422180176,7.196606159210205,68.32897186279297,8631360,971172
29,5258177536.0,179.26881408691406,-26.781518936157227,288.1802062988281,34.528175354003906,8.084854125976562,7.2006659507751465,67.81317901611328,8631360,830448
30,5258177536.0,174.7464599609375,-26.00196075439453,283.2154235839844,34.08065414428711,8.255261421203613,7.187477111816406,71.0870361328125,8631360,940692
31,5258177536.0,175.7481231689453,-26.014881134033203,284.2498779296875,34.361610412597656,8.158491134643555,7.128966331481934,70.13287353515625,8631360,1430860
32,5258177536.0,176.7496337890625,-26.02042007446289,285.2906799316406,34.63417434692383,8.173816680908203,7.1887125968933105,69.81964111328125,8631360,1039172
33,5258177536.0,177.75111389160156,-26.018569946289062,286.3379821777344,34.89829635620117,8.206632614135742,7.087883472442627,68.11609649658203,8631360,1459787
34,5258177536.0,178.752685546875,-26.009349822998047,287.3919982910156,35.153873443603516,8.107171058654785,7.199962139129639,68.78263092041016,8631360,905455
35,5258177536.0,179.7544708251953,-25.99273109436035,288.45281982421875,35.400840759277344,8.066033363342285,7.1948442459106445,68.19389343261719,8631360,911816
