INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,MED_VRMS_uJy,MIN_VRMS_uJy,MAX_VRMS_uJy,FSCALE,PLANET
0,0,RACS_0327+41,34668,0,34697,IMAGED,03 27 41.538,+41 52 34.89,51.923075,41.8763583333333,151.613628636209,-12.1311497580593,-45.0,5147072547.02937,905.748,905.748,36,5215897201.48732,196676955,22.9,6.40000000000001,-13.52,-0.236454337835312,15.184287071228,248.31309505884,227.842358031507,294.635451522163,147.695088934421,9111.98797430967,5215899857,2420,1,0,0,,100,207.716060685925,118.172218208201,793.899002019316,1.0582159638726403,0
0,0,RACS_0355+41,34669,0,34697,IMAGED,03 55 23.076,+41 52 34.89,58.84615,41.8763583333333,155.76091049147,-8.97838583293606,-45.0,5147073631.93689,905.748,905.748,36,5215908668.66423,196677823,22.4,6.40000000000001,-11.23,-0.046753715723753,1.9276088476181,242.731471871163,226.367219865943,234.634061886399,150.330640370091,2810.44987027428,5215911144,2376,1,0,0,,100,207.243989279959,128.602812765166,786.570541094989,1.0623037165499147,0
0,0,RACS_0423+41,34670,0,34697,IMAGED,04 23 04.615,+41 52 34.89,65.7692291666667,41.8763583333333,159.563014947926,-5.46624289053593,-45.0,5147074826.33049,905.748,905.748,36,5215909114.4925,196842714,23.9,6.7,-12.81,-0.08455528318882,7.63350629806519,307.319178768579,255.670087688822,513.669386431924,161.663937692381,7427.27287863695,5215911472,1823,1,0,0,,100,215.741616557352,131.831708131358,831.669254694134,1.066815615695301,0
0,0,RACS_0450+41,34671,0,34697,IMAGED,04 50 46.153,+41 52 34.89,72.6923041666667,41.8763583333333,163.023135682465,-1.64054946877264,-45.0,5147076207.84576,905.748,905.748,36,5215908855.4325,196888271,21.8,6.40000000000001,-8.42,-0.028896365314722,1.13861393928528,259.409741174742,239.291930761431,246.201013795311,135.131399042965,3336.78755820284,5215911347,2119,1,0,0,,100,206.226875889115,120.734053780325,803.121132776141,1.0720057753171897,0
0,0,RACS_0448+37,34672,0,34697,IMAGED,04 48 00,+37 14 45.37,72.0,37.2459361111111,166.244133608718,-5.01521455434174,-45.0,5147077213.12704,905.748,905.748,36,5215913886.31805,196903282,17.9,6.3,-13.84,-0.012488946318626,0.851792097091675,235.046021933022,223.066502691093,225.495553254032,147.701731428029,2121.12252565558,5215915609,2486,1,0,0,,100,210.219106520526,125.985810882412,795.836793258786,1.0757340943813443,0
0,0,RACS_0518+41,34673,0,34697,IMAGED,05 18 27.692,+41 52 34.89,79.6153833333333,41.8763583333333,166.150193365626,2.45628875269032,-45.0,5147078407.52064,905.748,905.748,36,5215908551.64885,196957607,22.2,6.40000000000001,-10.68,-0.016120756044984,0.87063467502594,240.466785925773,224.663439613431,231.692840575243,151.525192034518,2421.12402778099,5215911104,2371,1,0,0,,100,210.470039746724,134.172150865197,827.238836791366,1.080078960078464,0
0,0,RACS_0546+41,34674,0,34697,IMAGED,05 46 09.23,+41 52 34.89,86.5384583333333,41.8763583333333,168.955279334063,6.78575131868807,-45.0,5147079601.91424,905.748,905.748,36,5215908867.11446,196889210,21.9,6.40000000000001,-8.92,-0.017970526590943,2.03791761398315,227.971036669234,213.100900118882,237.656666079743,142.068730008611,3847.45685642432,5215911346,2431,1,0,0,,100,199.747708393261,126.173836179078,785.973505116999,1.0842992317081588,0
0,0,RACS_0614+46,34675,0,34697,IMAGED,06 15 00,+46 30 01.477,93.75,46.5004102777778,167.281687495308,13.519125345558,-45.0,5147080796.30784,895.795,895.795,36,5215940302.46622,196480748,28.5,6.50000000000002,-6.59,-0.042454700917006,2.54421472549438,242.069719454551,225.170794789177,230.07848074785,140.199679635559,3130.95108609097,5215942859,2477,1,0,0,,100,205.478194402531,115.999566332903,792.010338045657,1.088361204008967,0
0,0,RACS_0613+41,34676,0,34697,IMAGED,06 13 50.769,+41 52 34.89,93.4615375,41.8763583333333,171.448696379959,11.3132239940396,-45.0,5147081980.74816,905.748,905.748,36,5215941759.03555,196842320,22.3,6.40000000000001,-11.65,-0.007969632744789,0.838703215122223,222.139914182489,208.315633508493,222.002514815463,133.395913974544,2297.12024523295,5215944227,2481,1,0,0,,100,198.12687241938,118.46764391521,764.803728088737,1.0922006997453733,0
0,0,RACS_0644+46,34677,0,34697,IMAGED,06 45 00,+46 30 01.477,101.25,46.5004102777778,169.369192668387,18.273571611705,-45.0,5147083175.14176,905.748,905.748,36,5215976459.82323,196403775,29.1,6.50000000000002,-8.92,-0.015562516637147,1.37169146537781,237.612382847791,223.189623418956,224.410352438171,144.73198960674,2117.74498308209,5215979621,2356,1,0,0,,100,210.282843909226,116.127957880963,823.740265332162,1.0958508824695918,0
