INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV
0,0,RACS_1413-70,-1,-1,-1,--NULL--,14 13 40.491,-70 18 22.76,213.41871249999997,-70.30632222222222,309.80497788583244,-8.53977156393277,99.976,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
1,1,RACS_1313-72,-1,-1,-1,--NULL--,13 13 21.588,-72 45 46.24,198.33995,-72.76284444444444,304.57850977622513,-9.96121954061534,115.859,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
2,2,RACS_1200-73,-1,-1,-1,--NULL--,12 00 00,-73 39 49.07,179.99999999999997,-73.66363055555556,299.2735594718955,-11.158324293709606,135.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
3,3,RACS_1046-72,-1,-1,-1,--NULL--,10 46 38.411,-72 45 46.24,161.66004583333333,-72.76284444444444,293.8990412123923,-12.117614324770152,154.141,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
4,4,RACS_0946-70,-1,-1,-1,--NULL--,09 46 19.508,-70 18 22.76,146.58128333333332,-70.30632222222222,288.4674837873096,-12.827793456312929,170.024,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
5,5,RACS_1515-72,-1,-1,-1,--NULL--,15 15 34.107,-72 04 25.51,228.89211249999997,-72.07375277777777,313.60951400595815,-12.258566127975458,84.701,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
6,6,RACS_1418-75,-1,-1,-1,--NULL--,14 18 42.284,-75 45 16.71,214.6761833333333,-75.75464166666667,308.33557766939686,-13.80656153505988,99.482,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
7,7,RACS_1252-78,-1,-1,-1,--NULL--,12 52 05.776,-78 00 42.46,193.02406666666664,-78.01179444444445,302.96734128571904,-15.140092131640234,121.696,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
8,8,RACS_1107-78,-1,-1,-1,--NULL--,11 07 54.223,-78 00 42.46,166.97592916666665,-78.01179444444445,297.5125609519951,-16.243721183833745,148.304,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
9,9,RACS_0941-75,-1,-1,-1,--NULL--,09 41 17.715,-75 45 16.71,145.32381249999997,-75.75464166666667,291.9832930464391,-17.103969386770483,170.518,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
10,10,RACS_0844-72,-1,-1,-1,--NULL--,08 44 25.892,-72 04 25.51,131.10788333333332,-72.07375277777777,286.39553879475267,-17.70985218339222,-174.701,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
11,11,RACS_1625-72,-1,-1,-1,--NULL--,16 25 11.603,-72 19 38.12,246.29834583333331,-72.32725555555555,317.6171979920829,-15.873942655580983,67.699,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0,0,,0
